NodeID,ParentID,x,y,z,cost,active
261,180,95.3246,-31.7562,-44.7644,115.298,1
262,26,53.7068,-10.5436,-68.9886,166.487,1
263,26,53.7067,-10.5409,-68.9865,166.487,1
264,26,53.7078,-10.5414,-68.9878,166.486,1
265,180,95.3213,-31.7623,-44.7629,115.299,1
266,26,53.7072,-10.5425,-68.9881,166.487,1
267,199,110.78,-35.5554,-35.775,97.2042,1
268,26,53.7081,-10.5404,-68.9872,166.486,1
269,26,53.708,-10.5409,-68.9876,166.486,1
270,26,53.7076,-10.5431,-68.989,166.487,1
271,26,53.708,-10.5415,-68.9881,166.486,1
272,26,53.7071,-10.5462,-68.9909,166.487,1
273,26,53.7072,-10.5414,-68.9873,166.487,1
274,26,53.7074,-10.5431,-68.9888,166.487,1
275,26,53.7068,-10.5405,-68.9862,166.487,1
276,26,53.7083,-10.5422,-68.989,166.486,1
277,26,53.7079,-10.5426,-68.9889,166.486,1
278,251,149.695,-37.9225,-7.17533,52.2293,1
279,26,53.7071,-10.5418,-68.9875,166.487,1
280,26,53.7076,-10.5436,-68.9894,166.487,1
281,26,53.7075,-10.5413,-68.9874,166.487,1
282,251,149.701,-37.9198,-7.18132,52.2256,1
283,26,53.708,-10.5426,-68.989,166.486,1
284,36,77.0534,-25.219,-52.3878,135.921,1
285,214,134.147,-35.5306,-21.1679,70.6688,1
286,199,110.78,-35.5568,-35.7781,97.2056,1
287,26,53.7071,-10.5411,-68.9869,166.487,1
288,26,53.708,-10.5423,-68.9887,166.486,1
289,26,53.7081,-10.5425,-68.989,166.486,1
290,26,53.7072,-10.5442,-68.9895,166.487,1
291,26,53.7071,-10.541,-68.9868,166.487,1
292,26,53.7082,-10.5425,-68.989,166.486,1
293,26,53.7073,-10.5429,-68.9885,166.487,1
294,26,53.7061,-10.542,-68.9867,166.487,1
295,26,53.7073,-10.5407,-68.9868,166.487,1
296,26,53.7071,-10.5416,-68.9873,166.487,1
297,26,53.708,-10.5408,-68.9876,166.486,1
298,26,53.7077,-10.5417,-68.988,166.486,1
299,26,53.7071,-10.5414,-68.9872,166.487,1
300,26,53.7066,-10.5463,-68.9905,166.487,1
301,26,53.7077,-10.5411,-68.9876,166.486,1
302,252,98.4073,-32.6721,-43.1763,111.739,1
303,26,53.7072,-10.542,-68.9878,166.487,1
304,26,53.7077,-10.5419,-68.9882,166.486,1
305,26,53.7072,-10.5413,-68.9872,166.487,1
306,31,63.7696,-17.3872,-58.75,151.901,1
307,26,53.707,-10.5469,-68.9914,166.487,1
308,26,53.7075,-10.5413,-68.9875,166.486,1
309,26,53.7086,-10.5407,-68.988,166.486,1
310,26,53.7072,-10.5413,-68.9872,166.487,1
311,26,53.7067,-10.5416,-68.9869,166.487,1
312,251,149.703,-37.9246,-7.18272,52.2229,1
313,251,149.698,-37.9175,-7.17927,52.2286,1
314,26,53.7075,-10.5409,-68.9871,166.486,1
315,26,53.7076,-10.5413,-68.9876,166.486,1
316,26,53.7073,-10.5403,-68.9865,166.486,1
317,26,53.7071,-10.5445,-68.9896,166.487,1
318,26,53.7065,-10.5412,-68.9864,166.487,1
319,26,53.7074,-10.5413,-68.9874,166.487,1
320,26,53.7072,-10.5435,-68.9889,166.487,1
321,26,53.707,-10.5398,-68.9858,166.487,1
322,26,53.7079,-10.5413,-68.9879,166.486,1
323,26,53.7067,-10.542,-68.9873,166.487,1
324,56,133.625,-36.5112,-20.4779,70.7599,1
325,26,53.7077,-10.545,-68.9906,166.487,1
326,285,137.615,-35.2827,-19.038,66.8651,1
327,251,149.698,-37.9237,-7.1778,52.2269,1
328,26,53.7073,-10.542,-68.9879,166.487,1
329,26,53.7082,-10.5408,-68.9877,166.486,1
330,26,53.7076,-10.5413,-68.9875,166.486,1
331,26,53.7075,-10.5477,-68.9925,166.487,1
332,285,137.614,-35.2822,-19.0347,66.8654,1
333,26,53.7076,-10.5421,-68.9882,166.487,1
334,26,53.7067,-10.5417,-68.9869,166.487,1
335,179,101.524,-33.465,-41.5197,108.143,1
336,26,53.7066,-10.5465,-68.9907,166.487,1
337,60,146.507,-37.445,-10.0103,55.8514,1
338,326,141.067,-35.0668,-16.7917,63.0723,1
339,26,53.7069,-10.5422,-68.9876,166.487,1
340,26,53.7069,-10.5404,-68.9862,166.487,1
341,26,53.7075,-10.5425,-68.9885,166.487,1
342,26,53.7073,-10.5445,-68.9898,166.487,1
343,26,53.7079,-10.541,-68.9877,166.486,1
344,26,53.7073,-10.5429,-68.9885,166.487,1
345,26,53.7075,-10.5455,-68.9908,166.487,1
346,335,104.619,-34.3102,-39.7644,104.523,1
347,26,53.7071,-10.5415,-68.9873,166.487,1
348,26,53.7071,-10.5412,-68.987,166.487,1
349,26,53.7069,-10.5484,-68.9923,166.487,1
350,26,53.7066,-10.5415,-68.9867,166.487,1
351,26,53.7083,-10.5416,-68.9884,166.486,1
352,26,53.7079,-10.5406,-68.9872,166.486,1
353,26,53.7062,-10.5439,-68.9881,166.487,1
354,26,53.7072,-10.5419,-68.9877,166.487,1
355,338,144.525,-34.8772,-14.4896,59.2969,1
356,335,104.617,-34.3164,-39.764,104.523,1
357,26,53.7071,-10.542,-68.9877,166.487,1
358,41,92.2596,-30.7702,-46.2712,118.823,1
359,355,148.091,-34.5465,-12.3118,55.542,1
360,26,53.7078,-10.5425,-68.9887,166.486,1
361,26,53.7074,-10.547,-68.9918,166.487,1
362,26,53.7073,-10.5424,-68.9881,166.487,1
363,26,53.7078,-10.5424,-68.9886,166.486,1
364,26,53.7069,-10.5421,-68.9875,166.487,1
365,26,53.7081,-10.5414,-68.9882,166.486,1
366,26,53.7081,-10.5425,-68.9889,166.486,1
367,359,151.854,-34.0463,-10.4677,51.7894,1
368,26,53.7084,-10.5408,-68.9879,166.486,1
369,26,53.7083,-10.5408,-68.9879,166.486,1
370,26,53.707,-10.5409,-68.9867,166.487,1
371,26,53.7078,-10.5462,-68.9916,166.487,1
372,26,53.7069,-10.5402,-68.986,166.487,1
373,26,53.7075,-10.5421,-68.9882,166.487,1
374,26,53.7072,-10.543,-68.9886,166.487,1
375,26,53.7071,-10.5447,-68.9899,166.487,1
376,26,53.7071,-10.5408,-68.9866,166.487,1
377,26,53.7069,-10.5455,-68.9902,166.487,1
378,26,53.708,-10.5437,-68.9898,166.486,1
379,346,107.702,-35.1171,-37.8909,100.877,1
380,379,110.812,-35.7752,-35.9182,97.1954,1
381,26,53.7064,-10.5492,-68.9925,166.488,1
382,36,77.0529,-25.2199,-52.3876,135.921,1
383,26,53.7068,-10.5417,-68.9872,166.487,1
384,26,53.7072,-10.5402,-68.9863,166.487,1
385,183,95.3285,-31.7398,-44.7636,115.297,1
386,26,53.7066,-10.5441,-68.9888,166.487,1
387,26,53.7079,-10.5413,-68.9878,166.486,1
388,26,53.707,-10.5406,-68.9864,166.487,1
389,26,53.7069,-10.5468,-68.9912,166.487,1
390,26,53.7077,-10.5412,-68.9876,166.486,1
391,380,113.952,-36.2473,-33.8675,93.4905,1
392,26,53.7082,-10.5424,-68.9891,166.486,1
393,26,53.7082,-10.5433,-68.9897,166.486,1
394,335,104.617,-34.3131,-39.7612,104.523,1
395,26,53.7075,-10.5445,-68.99,166.487,1
396,26,53.7079,-10.5421,-68.9886,166.486,1
397,26,53.7073,-10.5403,-68.9865,166.486,1
398,26,53.7076,-10.5418,-68.988,166.486,1
399,26,53.7081,-10.5418,-68.9884,166.486,1
400,26,53.7065,-10.5413,-68.9866,166.487,1
401,26,53.7078,-10.5411,-68.9876,166.486,1
402,367,155.737,-33.5409,-8.83565,48.0435,1
403,26,53.7082,-10.5418,-68.9885,166.486,1
404,26,53.7065,-10.541,-68.9863,166.487,1
405,26,53.7084,-10.5405,-68.9876,166.486,1
406,26,53.7072,-10.5417,-68.9875,166.487,1
407,26,53.7074,-10.5406,-68.9868,166.486,1
408,26,53.7068,-10.5448,-68.9896,166.487,1
409,26,53.7068,-10.5469,-68.9912,166.487,1
410,26,53.706,-10.5423,-68.9869,166.487,1
411,26,53.7074,-10.5413,-68.9874,166.487,1
412,26,53.7084,-10.5408,-68.9878,166.486,1
413,26,53.7075,-10.5418,-68.9878,166.487,1
414,26,53.7076,-10.5408,-68.9872,166.486,1
415,382,80.0873,-26.3244,-51.3121,132.561,1
416,26,53.7066,-10.5419,-68.9871,166.487,1
417,26,53.7063,-10.5415,-68.9864,166.487,1
418,285,137.619,-35.2713,-19.0533,66.8678,1
419,26,53.7067,-10.5432,-68.9882,166.487,1
420,26,53.7061,-10.5412,-68.986,166.487,1
421,26,53.7078,-10.5415,-68.9879,166.486,1
422,26,53.7066,-10.5417,-68.9868,166.487,1
423,26,53.7077,-10.5414,-68.9878,166.486,1
424,56,133.627,-36.5011,-20.4821,70.7612,1
425,214,134.148,-35.5256,-21.1695,70.6695,1
426,26,53.7074,-10.5413,-68.9874,166.487,1
427,26,53.7069,-10.5444,-68.9893,166.487,1
428,26,53.7071,-10.5437,-68.9891,166.487,1
429,26,53.7082,-10.5427,-68.9892,166.486,1
430,26,53.7072,-10.5421,-68.9878,166.487,1
431,402,159.709,-33.1021,-7.38269,44.3104,1
432,26,53.708,-10.5412,-68.9879,166.486,1
433,26,53.7076,-10.5447,-68.9903,166.487,1
434,26,53.708,-10.5406,-68.9873,166.486,1
435,26,53.707,-10.5408,-68.9866,166.487,1
436,120,98.4227,-32.6027,-43.1744,111.735,1
437,26,53.7066,-10.5425,-68.9875,166.487,1
438,41,92.2624,-30.7732,-46.2772,118.822,1
439,26,53.7078,-10.543,-68.9891,166.487,1
440,402,159.707,-33.0997,-7.36994,44.3108,1
441,26,53.7079,-10.5411,-68.9877,166.486,1
442,26,53.7071,-10.542,-68.9876,166.487,1
443,26,53.7076,-10.5415,-68.9877,166.486,1
444,41,92.2613,-30.7751,-46.2754,118.822,1
445,179,101.524,-33.4596,-41.5133,108.141,1
446,26,53.7062,-10.5422,-68.9869,166.487,1
447,335,104.618,-34.3168,-39.7648,104.522,1
448,26,53.7072,-10.5412,-68.9871,166.487,1
449,250,55.6184,-11.6515,-66.8322,163.656,1
450,26,53.707,-10.5415,-68.9872,166.487,1
451,26,53.7071,-10.544,-68.9893,166.487,1
452,402,159.713,-33.106,-7.4114,44.3098,1
453,26,53.7062,-10.5412,-68.9861,166.487,1
454,26,53.7077,-10.5422,-68.9884,166.486,1
455,26,53.7076,-10.5406,-68.987,166.486,1
456,26,53.7063,-10.5416,-68.9866,166.487,1
457,26,53.7072,-10.5443,-68.9896,166.487,1
458,26,53.7082,-10.5425,-68.9891,166.486,1
459,26,53.7074,-10.5409,-68.9871,166.487,1
460,26,53.7081,-10.5405,-68.9874,166.486,1
461,402,159.705,-33.0978,-7.35858,44.3112,1
462,26,53.7071,-10.5407,-68.9866,166.487,1
463,26,53.7065,-10.5427,-68.9876,166.487,1
464,26,53.7066,-10.5429,-68.9879,166.487,1
465,26,53.7078,-10.5412,-68.9876,166.486,1
466,26,53.7059,-10.5409,-68.9856,166.487,1
467,26,53.7078,-10.5426,-68.9888,166.486,1
468,335,104.619,-34.3122,-39.7643,104.522,1
469,26,53.7079,-10.541,-68.9877,166.486,1
470,26,53.7068,-10.5421,-68.9875,166.487,1
471,26,53.7062,-10.5457,-68.9897,166.488,1
472,26,53.7078,-10.5408,-68.9874,166.486,1
473,26,53.7081,-10.5416,-68.9883,166.486,1
474,26,53.7076,-10.541,-68.9873,166.486,1
475,26,53.7076,-10.5409,-68.9872,166.486,1
476,26,53.7071,-10.5455,-68.9904,166.487,1
477,402,159.715,-33.1016,-7.41242,44.3104,1
478,26,53.7078,-10.5442,-68.9902,166.487,1
479,26,53.7073,-10.5404,-68.9866,166.486,1
480,402,159.713,-33.1065,-7.41019,44.3095,1
481,26,53.7074,-10.5412,-68.9873,166.487,1
482,26,53.7074,-10.5407,-68.9869,166.486,1
483,26,53.7075,-10.5427,-68.9886,166.487,1
484,26,53.7067,-10.5438,-68.9887,166.487,1
485,26,53.7073,-10.5411,-68.9872,166.487,1
486,391,117.122,-36.5287,-31.7462,89.767,1
487,26,53.7072,-10.5416,-68.9874,166.487,1
488,26,53.7071,-10.546,-68.9908,166.487,1
489,26,53.7068,-10.5426,-68.9878,166.487,1
490,26,53.7073,-10.5425,-68.9883,166.487,1
491,380,113.949,-36.2537,-33.8672,93.4917,1
492,26,53.7062,-10.5427,-68.9872,166.487,1
493,402,159.708,-33.0983,-7.37426,44.3117,1
494,26,53.7082,-10.5429,-68.9894,166.486,1
495,26,53.7072,-10.5428,-68.9884,166.487,1
496,379,110.812,-35.7751,-35.92,97.1965,1
497,447,107.692,-35.191,-37.9022,100.88,1
498,26,53.7073,-10.5423,-68.9881,166.487,1
499,26,53.7075,-10.5461,-68.9912,166.487,1
500,26,53.7073,-10.5414,-68.9873,166.487,1
501,26,53.706,-10.5411,-68.9858,166.487,1
502,26,53.7073,-10.5426,-68.9884,166.487,1
503,41,92.2609,-30.773,-46.2736,118.822,1
504,26,53.7075,-10.5426,-68.9886,166.487,1
505,26,53.7081,-10.5416,-68.9883,166.486,1
506,26,53.7061,-10.5417,-68.9865,166.487,1
507,26,53.706,-10.5531,-68.9949,166.488,1
508,26,53.7077,-10.5449,-68.9905,166.487,1
509,214,134.151,-35.5251,-21.1725,70.6675,1
510,26,53.7074,-10.5438,-68.9894,166.487,1
511,26,53.7068,-10.5407,-68.9863,166.487,1
512,26,53.708,-10.5424,-68.9889,166.486,1
513,26,53.7066,-10.5407,-68.9862,166.487,1
514,26,53.7076,-10.5438,-68.9896,166.487,1
515,26,53.7073,-10.5408,-68.9869,166.487,1
516,26,53.7079,-10.5405,-68.9872,166.486,1
517,26,53.7077,-10.5417,-68.988,166.486,1
518,26,53.7063,-10.5463,-68.9902,166.488,1
519,466,55.6146,-11.58,-66.7863,163.657,1
520,26,53.7081,-10.5424,-68.9889,166.486,1
521,26,53.7055,-10.5417,-68.9857,166.487,1
