NodeID,x,y,z,phi,theta,psi,u,v,w,p,q,r,delta_e,delta_a,delta_r,duration,cost
98,110.5,0,-14.6754,0,-0.370431,0,31.4092,0,4.17942,0,-2.92852,0,0.283672,0,0,0.0854629,-5002.53
99,113.196,0,-13.2355,0,-0.505926,0,32.0286,0,-0.485578,0,0.253825,0,-0.261285,0,0,0.0958061,-5115.7
100,115.235,0,-12.1347,0,-0.513403,0,32.3124,0,-0.463472,0,-0.464827,0,0.0782886,0,0,0.0720231,-5230.92
101,117.944,0,-10.636,0,-0.502969,0,32.6989,0,0.223008,0,0.667491,0,-0.0797271,0,0,0.0952076,-5348.85
102,118.27,0,-10.4538,0,-0.492407,0,32.7401,0,0.556601,0,1.18215,0,-0.324799,0,0,0.011414,-5467.09
103,120.317,0,-9.32746,0,-0.445082,0,32.9703,0,1.61089,0,0.119703,0,0.0846446,0,0,0.0710766,-5587.39
104,122.782,0,-8.05945,0,-0.257583,0,32.6948,0,6.19734,0,4.24457,0,-0.388226,0,0,0.0835601,-5710.13
105,123.928,0,-7.54869,0,-0.134684,0,32.185,0,8.42712,0,2.24247,0,0.248502,0,0,0.0377051,-5834.03
106,126.713,0,-6.61728,0,-0.0859334,0,32.6752,0,5.79922,0,-1.06043,0,0.138654,0,0,0.0884059,-5960.73
107,128.712,0,-6.1317,0,-0.204865,0,33.2166,0,0.67383,0,-2.66544,0,0.127616,0,0,0.0619739,-6089.42
108,129.917,0,-5.8526,0,-0.296216,0,33.2106,0,-2.09305,0,-2.20734,0,-0.0721826,0,0,0.0372067,-6219.33
109,133.103,0,-5.01568,0,-0.232562,0,33.4979,0,1.27181,0,3.39782,0,-0.359927,0,0,0.0984162,-6352.39
110,134.811,0,-4.56534,0,-0.102398,0,33.2494,0,4.59231,0,1.48303,0,0.195482,0,0,0.0526298,-6487.18
111,135.846,0,-4.32714,0,-0.0833995,0,33.2819,0,4.33941,0,-0.279417,0,0.305631,0,0,0.0316391,-6623
112,138.526,0,-3.80463,0,-0.205179,0,33.6115,0,-0.694464,0,-2.57363,0,0.158081,0,0,0.0813375,-6761.5
113,141.476,0,-3.17846,0,-0.382756,0,33.3855,0,-4.65087,0,-1.26757,0,-0.0504901,0,0,0.0895618,-6902.97
114,144.176,0,-2.38312,0,-0.491714,0,33.3798,0,-5.42906,0,-1.32308,0,0.0796261,0,0,0.0833955,-7047.13
115,147.172,0,-1.15401,0,-0.694422,0,33.0158,0,-8.05324,0,-2.83297,0,0.200532,0,0,0.0956228,-7194.28
116,147.974,0,-0.739069,0,-0.778239,0,32.7155,0,-9.31382,0,-3.46629,0,0.285011,0,0,0.0265586,-7342.23
117,149.179,0,-0.0137351,0,-0.926913,0,32.0726,0,-11.3802,0,-3.69452,0,0.191015,0,0,0.0413334,-7491.38
118,149.515,0,0.216122,0,-0.969825,0,31.8915,0,-11.8682,0,-3.4738,0,0.0538178,0,0,0.0119688,-7640.89
