witness_x,witness_y,witness_z,witness_cost,rep_x,rep_y,rep_z,rep_cost
92.2614,-30.7738,-46.2752,inf,92.2614,-30.7738,-46.2752,118.822
92.2598,-30.773,-46.2718,inf,92.2598,-30.773,-46.2718,118.822
92.2615,-30.7705,-46.2753,inf,92.2615,-30.7705,-46.2753,118.822
92.261,-30.7741,-46.2736,inf,92.261,-30.7741,-46.2736,118.822
92.262,-30.7682,-46.2754,inf,92.262,-30.7682,-46.2754,118.822
92.2615,-30.7757,-46.2762,inf,92.2615,-30.7757,-46.2762,118.822
92.2605,-30.7681,-46.2729,inf,92.2605,-30.7681,-46.2729,118.823
107.684,-35.0039,-37.7999,inf,107.684,-35.0039,-37.7999,100.876
130.628,-35.7913,-23.1581,inf,130.628,-35.7913,-23.1581,74.5023
92.2605,-30.7726,-46.2729,inf,92.2605,-30.7726,-46.2729,118.822
92.2616,-30.7732,-46.275,inf,92.2616,-30.7732,-46.275,118.822
92.2613,-30.7727,-46.2746,inf,92.2613,-30.7727,-46.2746,118.822
130.628,-35.7897,-23.1576,inf,130.628,-35.7897,-23.1576,74.5028
92.261,-30.7746,-46.2741,inf,92.261,-30.7746,-46.2741,118.822
92.2607,-30.7741,-46.273,inf,92.2607,-30.7741,-46.273,118.822
92.2623,-30.7721,-46.277,inf,92.2623,-30.7721,-46.277,118.822
92.2626,-30.7699,-46.2774,inf,92.2626,-30.7699,-46.2774,118.822
92.2607,-30.762,-46.2723,inf,92.2607,-30.762,-46.2723,118.823
130.629,-35.7944,-23.1609,inf,130.629,-35.7944,-23.1609,74.5017
92.2619,-30.7741,-46.2765,inf,92.2619,-30.7741,-46.2765,118.822
92.2622,-30.7677,-46.2767,inf,92.2622,-30.7677,-46.2767,118.823
92.2615,-30.7756,-46.2754,inf,92.2615,-30.7756,-46.2754,118.822
130.688,-35.6981,-23.2498,inf,130.688,-35.6981,-23.2498,74.4933
92.2616,-30.7729,-46.276,inf,92.2616,-30.7729,-46.276,118.822
92.2599,-30.7703,-46.2718,inf,92.2599,-30.7703,-46.2718,118.822
95.3242,-31.7559,-44.7615,inf,95.3242,-31.7559,-44.7615,115.297
104.599,-34.3034,-39.7097,inf,104.599,-34.3034,-39.7097,104.521
92.2618,-30.7657,-46.2746,inf,92.2618,-30.7657,-46.2746,118.823
92.261,-30.7716,-46.274,inf,92.261,-30.7716,-46.274,118.822
110.783,-35.559,-35.7806,inf,110.783,-35.559,-35.7806,97.2036
92.2617,-30.767,-46.2743,inf,92.2617,-30.767,-46.2743,118.822
92.2602,-30.7711,-46.2717,inf,92.2602,-30.7711,-46.2717,118.822
92.2601,-30.7738,-46.2725,inf,92.2601,-30.7738,-46.2725,118.822
130.628,-35.7935,-23.1583,inf,130.628,-35.7935,-23.1583,74.5019
92.2611,-30.7647,-46.273,inf,92.2611,-30.7647,-46.273,118.823
92.2606,-30.7739,-46.2727,inf,92.2606,-30.7739,-46.2727,118.822
92.2628,-30.7736,-46.2782,inf,92.2628,-30.7736,-46.2782,118.822
92.2616,-30.7727,-46.2753,inf,92.2616,-30.7727,-46.2753,118.822
92.2616,-30.7722,-46.275,inf,92.2616,-30.7722,-46.275,118.822
95.3236,-31.7543,-44.7596,inf,95.3236,-31.7543,-44.7596,115.297
92.26,-30.7675,-46.2718,inf,92.26,-30.7675,-46.2718,118.823
92.261,-30.7745,-46.2748,inf,92.261,-30.7745,-46.2748,118.822
130.629,-35.7931,-23.1603,inf,130.629,-35.7931,-23.1603,74.5022
92.2617,-30.7736,-46.2759,inf,92.2617,-30.7736,-46.2759,118.822
92.2617,-30.7719,-46.276,inf,92.2617,-30.7719,-46.276,118.822
130.629,-35.7936,-23.1593,inf,130.629,-35.7936,-23.1593,74.5021
130.631,-35.7968,-23.1634,inf,130.631,-35.7968,-23.1634,74.5008
92.2628,-30.7746,-46.2783,inf,92.2628,-30.7746,-46.2783,118.822
92.2621,-30.7717,-46.2761,inf,92.2621,-30.7717,-46.2761,118.822
92.2611,-30.7742,-46.2746,inf,92.2611,-30.7742,-46.2746,118.822
92.2606,-30.7744,-46.2735,inf,92.2606,-30.7744,-46.2735,118.822
98.4228,-32.6069,-43.1755,inf,98.4228,-32.6069,-43.1755,111.734
53.7069,-10.5407,-68.9864,inf,53.7069,-10.5407,-68.9864,166.487
53.7066,-10.5423,-68.9874,inf,53.7066,-10.5423,-68.9874,166.487
53.7071,-10.5409,-68.9867,inf,53.7071,-10.5409,-68.9867,166.487
53.7076,-10.5454,-68.9908,inf,53.7076,-10.5454,-68.9908,166.487
107.679,-35.0128,-37.7944,inf,107.679,-35.0128,-37.7944,100.877
53.7075,-10.5415,-68.9876,inf,53.7075,-10.5415,-68.9876,166.487
53.7077,-10.5467,-68.9919,inf,53.7077,-10.5467,-68.9919,166.487
146.506,-37.4387,-10.0028,inf,146.506,-37.4387,-10.0028,55.8523
95.3236,-31.7587,-44.7651,inf,95.3236,-31.7587,-44.7651,115.299
53.7076,-10.5463,-68.9916,inf,53.7076,-10.5463,-68.9916,166.487
53.7073,-10.5435,-68.9891,inf,53.7073,-10.5435,-68.9891,166.487
53.7068,-10.54,-68.9858,inf,53.7068,-10.54,-68.9858,166.487
133.621,-36.5122,-20.4721,inf,133.621,-36.5122,-20.4721,70.7616
53.7083,-10.5405,-68.9876,inf,53.7083,-10.5405,-68.9876,166.486
53.707,-10.541,-68.9867,inf,53.707,-10.541,-68.9867,166.487
101.524,-33.4603,-41.5139,inf,101.524,-33.4603,-41.5139,108.141
107.679,-35.0091,-37.7932,inf,107.679,-35.0091,-37.7932,100.877
95.3246,-31.7562,-44.7644,inf,95.3246,-31.7562,-44.7644,115.298
53.7068,-10.5436,-68.9886,inf,53.7068,-10.5436,-68.9886,166.487
53.7067,-10.5409,-68.9865,inf,53.7067,-10.5409,-68.9865,166.487
53.7078,-10.5414,-68.9878,inf,53.7078,-10.5414,-68.9878,166.486
95.3213,-31.7623,-44.7629,inf,95.3213,-31.7623,-44.7629,115.299
53.7072,-10.5425,-68.9881,inf,53.7072,-10.5425,-68.9881,166.487
110.78,-35.5554,-35.775,inf,110.78,-35.5554,-35.775,97.2042
53.7081,-10.5404,-68.9872,inf,53.7081,-10.5404,-68.9872,166.486
53.708,-10.5409,-68.9876,inf,53.708,-10.5409,-68.9876,166.486
53.7076,-10.5431,-68.989,inf,53.7076,-10.5431,-68.989,166.487
53.708,-10.5415,-68.9881,inf,53.708,-10.5415,-68.9881,166.486
53.7071,-10.5462,-68.9909,inf,53.7071,-10.5462,-68.9909,166.487
53.7072,-10.5414,-68.9873,inf,53.7072,-10.5414,-68.9873,166.487
53.7074,-10.5431,-68.9888,inf,53.7074,-10.5431,-68.9888,166.487
53.7068,-10.5405,-68.9862,inf,53.7068,-10.5405,-68.9862,166.487
53.7083,-10.5422,-68.989,inf,53.7083,-10.5422,-68.989,166.486
53.7079,-10.5426,-68.9889,inf,53.7079,-10.5426,-68.9889,166.486
149.695,-37.9225,-7.17533,inf,149.695,-37.9225,-7.17533,52.2293
53.7071,-10.5418,-68.9875,inf,53.7071,-10.5418,-68.9875,166.487
53.7076,-10.5436,-68.9894,inf,53.7076,-10.5436,-68.9894,166.487
53.7075,-10.5413,-68.9874,inf,53.7075,-10.5413,-68.9874,166.487
149.701,-37.9198,-7.18132,inf,149.701,-37.9198,-7.18132,52.2256
53.708,-10.5426,-68.989,inf,53.708,-10.5426,-68.989,166.486
77.0534,-25.219,-52.3878,inf,77.0534,-25.219,-52.3878,135.921
134.147,-35.5306,-21.1679,inf,134.147,-35.5306,-21.1679,70.6688
110.78,-35.5568,-35.7781,inf,110.78,-35.5568,-35.7781,97.2056
53.7071,-10.5411,-68.9869,inf,53.7071,-10.5411,-68.9869,166.487
53.708,-10.5423,-68.9887,inf,53.708,-10.5423,-68.9887,166.486
53.7081,-10.5425,-68.989,inf,53.7081,-10.5425,-68.989,166.486
53.7072,-10.5442,-68.9895,inf,53.7072,-10.5442,-68.9895,166.487
53.7071,-10.541,-68.9868,inf,53.7071,-10.541,-68.9868,166.487
53.7082,-10.5425,-68.989,inf,53.7082,-10.5425,-68.989,166.486
53.7073,-10.5429,-68.9885,inf,53.7073,-10.5429,-68.9885,166.487
