NodeID,x,y,z,phi,theta,psi,u,v,w,p,q,r,delta_e,delta_a,delta_r,duration,cost
56,129.319,-39.5874,-11.7067,1.2789,0.0405335,-0.177145,38.5422,2.288,2.79139,0.695372,-1.26054,1.30469,0.140673,0.150634,0.0252954,0.1,72.3962
57,133.105,-40.3677,-11.5441,1.27962,-0.0696021,-0.136839,38.5768,-1.28558,1.39426,-0.441573,1.46505,0.83048,-0.154002,-0.113526,-0.0286417,0.1,68.5635
58,136.915,-40.9642,-11.3181,1.39408,-0.128899,-0.158389,38.5014,-2.17168,-1.24072,2.57366,-2.0933,0.282795,0.169324,0.153601,0.143875,0.1,64.726
59,140.725,-41.5181,-10.987,1.62448,-0.115835,-0.179198,38.5589,-0.676488,-1.04697,1.85377,1.64157,-0.58483,-0.162309,-0.0534109,-0.0432583,0.1,60.8782
60,144.525,-42.0501,-10.5509,1.82239,-0.0678801,-0.144697,38.524,2.00854,-1.0892,2.10752,-1.06128,-0.206605,0.140164,0.0240369,0.0730904,0.1,57.0261
61,148.323,-42.5436,-10.0264,1.98156,-0.103915,-0.070303,38.5663,2.28163,1.06694,1.21474,2.6175,0.268855,-0.174408,-0.0700094,0.0538378,0.1,53.1657
62,152.124,-42.88,-9.3656,2.14489,-0.181738,-0.020246,38.6547,1.27749,0.903611,2.20429,-0.989089,0.677231,0.157168,0.017748,0.163099,0.1,49.3001
63,155.906,-43.0596,-8.52792,2.32177,-0.26726,-0.00816928,38.7807,-0.126,1.38259,1.48528,2.18826,0.337337,-0.162728,-0.0684293,0.0141635,0.1,45.4442
64,159.653,-43.0977,-7.4723,2.44721,-0.296178,0.0135005,38.9694,0.388022,-0.156944,1.13756,-1.42666,-0.0809329,0.160764,-0.0700214,0.0419872,0.1,41.6096
65,163.375,-43.0974,-6.29915,2.56001,-0.147396,-0.161137,38.371,-1.22556,-7.52711,0.46684,-2.70103,0.898957,0.113878,0.147337,-0.168058,0.1,37.7986
66,167.164,-43.3336,-5.32417,2.69228,-0.137583,-0.205999,38.7773,-2.4319,-4.8024,2.06405,1.93502,-0.365458,-0.134061,0.0152589,0.101754,0.1,33.9261
67,170.972,-43.7224,-4.45881,2.87999,-0.171115,-0.0700544,39.1723,1.7981,-1.78723,1.97962,-0.480268,-1.44568,0.147498,-0.136494,0.131142,0.1,30.0323
68,174.79,-44.1115,-3.61442,2.98802,0.00631172,-0.0844362,38.5015,1.97708,-7.56349,0.348094,-2.80615,0.909124,0.169606,0.138332,-0.170222,0.1,26.1401
69,178.659,-44.5527,-3.05265,3.02761,0.0024402,-0.140585,39.0269,-0.289007,-4.24412,0.608058,2.5824,0.0501855,-0.170706,-0.144671,0.155893,0.1,22.2358
70,182.536,-45.0314,-2.61123,3.12758,-0.121202,-0.158488,39.2275,-1.36716,-0.376536,1.39524,-0.271303,0.43459,0.156869,0.163638,-0.0583039,0.1,18.3439
71,186.396,-45.5132,-2.08189,3.1405,0.0499765,-0.143175,38.7048,-0.674434,-6.67792,-1.11738,-2.9177,-0.607342,0.169996,-0.173953,-0.150491,0.1,14.4754
72,190.277,-46.0093,-1.81545,3.01263,0.185775,-0.11803,38.2696,1.48337,-7.64248,-1.57118,0.23662,0.129901,-0.0508525,0.0614236,-0.0941727,0.1,10.6654
73,194.135,-46.5287,-1.86468,2.85274,0.0481571,-0.126294,38.8745,0.721895,-0.934334,-1.52759,2.15745,0.56794,-0.0392314,-0.0399361,0.0399395,0.1,7.06576
74,197.99,-47.0466,-1.83864,2.7526,-0.0286999,-0.176029,38.7696,-1.63749,-0.799932,-0.463426,-1.04449,0.658946,0.15915,0.0885391,-0.00356776,0.1,4.01795
